InvoiceId,ItemCount,ProductId,Quantity,Cost
1,0,533273,9,864.09
2,0,205510,19,46.550000000000004
2,1,547305,18,1445.22
2,2,133264,11,953.5899999999999
2,3,510927,6,150.78
2,4,642995,12,716.4000000000001
2,5,253131,5,240.10000000000002
2,6,400814,3,59.099999999999994
3,0,319560,16,1091.52
3,1,37606,12,549.24
3,2,238068,13,1103.57
3,3,226653,17,547.4000000000001
3,4,837346,2,197.14
3,5,796905,11,523.38
3,6,714712,9,81.27
3,7,658070,6,61.56
3,8,58426,2,118.62
4,0,376137,16,1160.64
4,1,966836,15,521.7
4,2,972067,16,901.12
4,3,749168,5,278.8
4,4,396404,4,249.72
4,5,483484,13,279.11
4,6,393879,17,243.61
5,0,444798,15,162.75
5,1,83102,1,55.19
6,0,16479,19,350.74
6,1,368501,13,114.13999999999999
6,2,852400,10,556.1999999999999
6,3,167434,16,1173.76
6,4,104664,17,649.91
6,5,212125,9,768.8700000000001
6,6,147214,13,0.9100000000000001
6,7,245457,17,1033.43
7,0,953382,17,713.1500000000001
7,1,330317,6,5.58
7,2,970746,3,91.11
7,3,404942,19,1571.8700000000001
7,4,839188,1,12.65
7,5,804472,17,246.84
7,6,729213,7,164.57000000000002
7,7,432005,17,907.9699999999999
7,8,190767,6,279.18
8,0,125737,18,941.9399999999999
8,1,240569,7,294.7
8,2,384566,11,391.04999999999995
8,3,283185,18,1155.42
8,4,174701,1,95.11
8,5,682989,12,586.92
8,6,789904,6,145.07999999999998
8,7,15637,3,276.06
9,0,655303,5,450
9,1,418033,12,1001.8799999999999
9,2,768168,1,39.04
9,3,862094,8,283.28
9,4,415567,15,1151.8500000000001
10,0,379679,1,25.92
10,1,251087,4,129.56
10,2,936892,17,541.79
10,3,477382,5,387.1
10,4,126183,19,102.03
10,5,405471,15,374.54999999999995
10,6,275448,2,108.4
10,7,607062,18,1628.64
10,8,27692,15,106.05000000000001
11,0,41890,11,819.17
11,1,41071,15,545.85
11,2,393392,12,97.08
12,0,538963,15,186.3
12,1,379229,7,0.14
12,2,168964,13,861.51
12,3,301901,13,537.29
12,4,899992,2,113.66
12,5,724927,3,244.74
13,0,328250,15,1207.65
13,1,84900,18,831.0600000000001
13,2,20395,3,4.2299999999999995
14,0,164435,12,595.4399999999999
14,1,389069,9,382.59
14,2,34477,7,157.36
14,3,107970,3,161.85000000000002
14,4,168532,17,664.19
14,5,538258,10,724.0999999999999
14,6,905758,18,255.06
15,0,377854,10,20.7
15,1,341878,11,455.51
