CustomerID,CarID,CarColor,Date
18504,323,Karminrot,10.05.1979
73895,148,Henna,17.11.1943
50960,155,Sahne,27.01.1972
71018,138,Grau,03.10.1973
77413,78,Limettengruen,09.01.2009
1077,104,Moosgruen,18.11.1940
22872,65,Elfenbein,12.06.1969
56926,45,Rosa,17.06.1929
73903,273,Sonnengelb,13.06.1936
33950,80,Ozeanblau,10.11.1927
67588,348,Dunkelblau,06.05.1970
74658,329,Amethyst,18.04.1998
77643,101,Koenigsblau,10.01.2020
11400,145,Kupfer,24.11.1966
10485,12,Schiefergrau,12.09.1951
8130,162,Schlamm,15.02.1968
92088,319,Tuerkis,21.07.1954
63021,300,Saharasand,17.10.1935
16172,26,Silber,06.04.1930
65071,360,Schiefergrau,17.02.2007
30428,212,Gruen,05.03.2018
88890,157,Lila,15.11.1947
55235,286,Gelb,15.10.1956
96366,257,Dunkelblau,10.01.2022
44659,236,Bernstein,13.03.1928
24053,185,Smaragdgruen,05.09.1925
35845,55,Karminrot,11.04.1975
8305,271,Maisgelb,27.02.1962
14111,345,Minzgruen,09.01.2014
62385,311,Mint,08.06.1965
13300,54,Kobaltblau,12.05.2007
45497,120,Pflaumenblau,03.09.2011
85611,104,Pfirsich,16.09.2013
3932,165,Bernstein,03.04.2008
68261,12,Bronze,08.05.2020
54332,3,Zitronengelb,26.11.1968
2775,225,Rubinrot,11.11.1985
97769,218,Schiefergrau,17.10.1964
28996,129,Braun,27.01.1969
70290,110,Grau,06.05.2007
45244,127,Henna,17.02.1978
37031,111,Pergament,24.06.1963
93657,30,Pfauenblau,16.10.2017
2397,286,Pergament,17.04.1944
76850,47,Smaragd,04.05.1984
78123,150,Saharasand,09.01.1967
825,155,Beige,26.10.1957
56545,294,Dunkelblau,05.09.2008
51771,194,Zinnoberrot,03.05.1976
16533,350,Koenigsblau,21.08.1983
23472,275,Kieselgrau,19.10.2010
84681,226,Vanille,06.07.1995
24856,24,Bernstein,09.03.2021
39343,189,Magenta,07.03.1954
42734,154,Pink,18.05.2005
18040,225,Blau,02.01.1968
16021,148,Himmelblau,09.08.1974
73851,367,Koenigsblau,17.03.1994
9785,290,Aquamarin,27.09.1987
19441,72,Purpur,14.07.1973
81805,8,Cremeweiss,07.06.1926
41679,249,Pink,10.01.2022
67369,101,Azurblau,01.09.1932
82850,200,Sahne,16.09.1938
21143,237,Bronze,03.04.1970
98949,57,Ozeanblau,27.06.1999
42893,58,Amethyst,10.10.1998
80147,363,Salbeigruen,12.06.2005
23991,32,Kieselgrau,07.04.1928
5121,145,Schneeweiss,07.07.1925
66355,128,Dunkelgruen,07.06.1996
85200,289,Orchidee,07.07.1999
99231,299,Blau,21.05.1932
31263,281,Jade,23.10.1938
85771,362,Feuerrot,13.04.1968
44767,179,Cremeweiss,15.01.1928
20342,200,Pfauenblau,02.10.1923
65001,311,Kaktusgruen,01.05.2000
52259,328,Karminrot,15.09.1935
71980,241,Stahlblau,24.07.2007
75704,64,Karminrot,09.01.1991
48387,35,Bernstein,23.08.1994
78323,179,Stahlblau,23.05.1994
34412,222,Lavendel,06.04.1937
32858,297,Sonnengelb,05.08.1973
36283,92,Peridotgruen,04.02.1988
20757,25,Gelb,22.07.1939
80825,29,Schneeweiss,14.05.1935
37091,220,Violett,14.08.2007
62979,104,Gruen,09.09.1959
2974,18,Tuerkis,22.09.1944
34108,140,Graphitgrau,22.01.2018
13377,371,Hellgruen,25.11.1930
78192,303,Pink,10.01.1970
46295,194,Gelb,21.09.1942
90871,130,Smaragdgruen,08.06.1964
19667,152,Magenta,04.10.2017
67334,10,Zinnoberrot,12.11.1949
31913,230,Magenta,22.04.1958
21332,215,Aquamarin,10.10.1925
75994,238,Stahlblau,06.07.1988
40432,308,Vanille,03.02.1999
92937,188,Pflaumenblau,03.05.1946
78281,81,Himbeerpink,07.09.2021
54842,113,Hellblau,21.11.1937
77093,274,Kobaltgruen,12.07.2017
33874,247,Hellgruen,22.02.2001
44999,189,Moosgruen,10.07.1947
76734,3,Kobaltgruen,23.09.1981
74064,201,Orchidee,04.08.1927
60194,170,Himmelblau,11.06.1933
68588,28,Karminrot,13.07.1957
83245,216,Kupfer,01.06.2015
32971,311,Lila,08.08.1936
55912,338,Sonnengelb,20.05.2019
75410,48,Beige,18.05.1953
85022,275,Sonnengelb,02.09.1999
38098,148,Wasserblau,02.01.1964
818,347,Dunkelblau,02.05.1925
42898,197,Jagdgruen,05.02.1953
20524,294,Smaragdgruen,05.10.1935
13521,53,Feuerrot,17.03.1977
86717,285,Schlamm,05.08.1984
444,60,Smaragdgruen,11.04.1942
23872,321,Himbeerpink,15.08.1945
83534,322,Salbeigruen,01.08.1936
63135,163,Mokka,03.11.1935
47977,260,Blau,03.04.1961
99688,241,Kaktusgruen,22.01.1980
9813,288,Aprikose,22.02.1998
51657,314,Violett,06.08.1974
85340,323,Gruen,19.11.1986
89764,54,Muschelrosa,24.08.1994
48673,20,Stahlblau,27.04.1933
89855,169,Wasserblau,07.03.1936
5332,280,Kobaltblau,23.08.1954
47703,10,Bernstein,14.05.1997
2341,318,Pflaumenblau,09.10.1928
8199,144,Lavendel,17.08.1982
70505,346,Granatrot,08.04.2015
86679,189,Lila,25.06.2021
65486,299,Peridotgruen,11.08.1955
63850,256,Aprikose,18.06.2002
63497,138,Senf,08.03.1953
61488,20,Rubinrot,07.01.2012
81692,246,Smaragd,13.02.1955
48522,365,Kobaltgruen,09.11.1994
20344,66,Smaragd,07.01.1951
97891,129,Magenta,25.06.1942
42887,376,Scharlachrot,17.11.1993
87255,280,Gelb,20.11.1984
84813,136,Azurblau,23.07.2018
74182,362,Aprikose,11.02.2015
33477,44,Elfenbein,25.07.2012
89134,72,Gelb,19.01.2021
15766,146,Gelb,22.10.1957
71051,269,Marineblau,11.10.1939
2796,15,Dunkelgruen,22.10.1997
26166,133,Tannengruen,08.05.2020
41688,306,Rubinrot,04.01.2022
77053,138,Ocker,17.08.2019
22740,31,Aprikose,27.01.1982
84829,186,Mitternachtsblau,15.01.1957
32781,305,Elfenbein,13.04.1949
45312,62,Pfauenblau,25.01.1954
14427,363,Dunkelgruen,26.03.1939
62222,35,Amethyst,20.11.2022
96463,314,Jagdgruen,25.03.1941
56562,83,Kaktusgruen,21.10.1980
23942,113,Kobaltgruen,08.08.1945
27205,49,Pflaumenblau,19.06.1929
16169,206,Vanille,06.03.1978
73336,144,Elfenbein,24.08.1998
34677,18,Kieselgrau,24.02.1990
73084,140,Senf,17.06.1936
98434,81,Sonnengelb,20.06.1937
79713,372,Kobaltgruen,22.03.1961
89398,90,Himbeerpink,07.03.1985
85139,48,Tuerkis,19.01.1995
33281,318,Mint,05.10.1955
24291,352,Bronze,27.04.1970
13439,64,Kobaltblau,25.08.1979
58193,28,Bernstein,04.02.1951
86433,166,Schiefergrau,06.06.1944
99762,358,Feuerrot,22.10.1986
16491,254,Schlamm,01.09.1971
5861,246,Himmelblau,25.08.1970
67836,63,Saharasand,15.02.1931
53571,70,Violett,20.02.2000
96667,185,Himbeerpink,07.02.1992
9768,76,Rosa,08.07.1925
90091,154,Moosgruen,06.07.2007
73087,64,Dunkelgrau,20.07.1942
52745,297,Marineblau,11.10.2010
52720,306,Stahlblau,03.03.1930
76209,106,Magenta,09.11.1991
90766,363,Lila,14.06.2017
55003,69,Smaragdgruen,26.05.2019
82474,110,Henna,04.10.2021
81213,122,Feuerrot,20.03.1972
81221,227,Saphirblau,13.11.2015
33723,175,Malachitgruen,26.06.1976
49614,151,Bernstein,27.01.1977
75458,204,Minzgruen,09.06.1924
41872,221,Gold,08.10.1955
99841,76,Indigo,22.02.1967
1391,39,Minzgruen,14.07.1935
15237,249,Graphitgrau,21.06.1981
58087,195,Stahlblau,10.02.2021
36406,338,Granatrot,27.02.1974
4753,1,Saphirblau,08.05.2012
30279,71,Orchidee,07.03.2003
65178,281,Orchidee,05.02.1969
64639,280,Pfirsich,27.02.1951
58770,48,Scharlachrot,12.02.2014
63673,244,Weiss,27.11.1984
66808,147,Moosgruen,11.03.1976
46672,217,Mokka,01.11.1956
61611,227,Hellblau,14.06.2003
